Metric,Value
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.8063225870772923
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.24417424329139392
timing__hold__ws__corner:max_ff_n40C_1v95,0.41721605129408157
timing__setup__ws__corner:max_ff_n40C_1v95,8.764647922178693
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.417216
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,17.137547
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,655
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,655
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79979
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000208195
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000189425
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000025879
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000189425
design_powergrid__voltage__worst,0.000189425
design_powergrid__voltage__worst__net:vccd1,1.79979
design_powergrid__drop__worst,0.000208195
design_powergrid__drop__worst__net:vccd1,0.000208195
design_powergrid__voltage__worst__net:vssd1,0.000189425
design_powergrid__drop__worst__net:vssd1,0.000189425
ir__voltage__worst,1.8
ir__drop__avg,0.0000264
ir__drop__worst,0.000208
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
